ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006125.12,504.2027253,0.023011126,0.092431115,0.248954327,0.803396111,0.999968843
ENSG00000006128.7,27.67272261,0.124296159,0.200736368,0.619200997,0.535783955,0.999968843
ENSG00000006194.6,40.99582644,0.005819404,0.155525292,0.037417735,0.970151932,0.999968843
ENSG00000006210.6,297.4384745,0.081902937,0.21123193,0.387739377,0.698208912,0.999968843
ENSG00000006282.14,72.89456204,-0.002740121,0.173690053,-0.015775921,0.987413158,0.999968843
ENSG00000006283.13,76.33680724,0.151662185,0.311625495,0.486680927,0.626484463,0.999968843
ENSG00000006432.11,115.4210079,0.109809189,0.354963758,0.309353241,0.757052835,0.999968843
ENSG00000006451.3,61.40451663,-0.024277789,0.184226781,-0.131782084,0.895156658,0.999968843
ENSG00000006459.6,18.9448909,-0.022518862,0.227327519,-0.099059112,0.921091336,0.999968843
ENSG00000006468.9,80.44458202,0.047853738,0.400721677,0.119418889,0.904943497,0.999968843
ENSG00000006530.11,52.95348811,0.073811301,0.188237422,0.392118105,0.694970951,0.999968843
ENSG00000006576.12,22.29212943,-0.040364613,0.250221012,-0.161315842,0.871844647,0.999968843
ENSG00000006607.8,19.01449948,-0.055820009,0.247245856,-0.225767218,0.821382475,0.999968843
ENSG00000006611.10,13.05607712,-0.669371993,1.050381686,-0.637265484,0.52395193,0.999968843
ENSG00000006625.13,40.71118655,0.093928799,0.201927298,0.46516147,0.641815828,0.999968843
ENSG00000006652.9,37.87844194,-0.055956342,0.20772975,-0.269370864,0.787644305,0.999968843
ENSG00000006695.6,12.75521708,0.06460223,0.282934486,0.228329289,0.819390257,0.999968843
ENSG00000006704.6,12.88845967,-0.025829126,0.273193485,-0.094545175,0.924676098,0.999968843
ENSG00000006712.10,70.2220984,-0.048615599,0.143256329,-0.339360918,0.734337856,0.999968843
ENSG00000006715.11,154.1670846,0.042727712,0.167187724,0.255567283,0.798284984,0.999968843
ENSG00000006740.11,135.7006677,0.08833256,0.245046063,0.360473288,0.718493229,0.999968843
ENSG00000006744.12,65.6164321,0.015209721,0.124214618,0.122447108,0.902544932,0.999968843
ENSG00000006757.7,15.94213542,0.019605546,0.23862054,0.082162023,0.934517872,0.999968843
ENSG00000006831.9,124.5848176,-0.241867421,0.495487324,-0.488140482,0.625450339,0.999968843
ENSG00000007047.10,118.612376,0.069901818,0.171814066,0.406845727,0.6841213,0.999968843
ENSG00000007080.6,73.20616418,0.006438374,0.135595099,0.047482352,0.962128795,0.999968843
ENSG00000007168.7,442.777235,0.035243883,0.131708366,0.267590314,0.789014687,0.999968843
ENSG00000007171.12,13.64924432,0.139755472,0.598304826,0.233585734,0.815306604,0.999968843
ENSG00000007174.12,10.66767769,0.141555747,0.335063691,0.422474148,0.672678967,0.999968843
ENSG00000007202.10,141.1280944,0.022163178,0.130211542,0.170209015,0.864845762,0.999968843
ENSG00000007237.13,841.5683113,0.021063761,0.082161181,0.256371199,0.797664225,0.999968843
ENSG00000007264.9,65.66468895,0.05839152,0.284016481,0.205592012,0.837109618,0.999968843
ENSG00000007341.14,12.6994392,-0.047065863,0.273352102,-0.172180357,0.86329574,0.999968843
ENSG00000007372.15,18.96992589,-0.099578145,0.287419326,-0.346455983,0.729000058,0.999968843
ENSG00000007376.3,29.59679814,0.045299362,0.255914783,0.177009555,0.859500885,0.999968843
ENSG00000007392.12,40.04898476,-0.005340556,0.153533065,-0.034784404,0.972251657,0.999968843
ENSG00000007402.7,33.7753156,0.090007868,0.247565658,0.363571703,0.716177861,0.999968843
ENSG00000007516.9,146.1421428,0.114813683,0.284263877,0.403898251,0.686287542,0.999968843
ENSG00000007520.3,39.5201645,-0.036913634,0.160232866,-0.230374925,0.817800444,0.999968843
ENSG00000007541.10,54.54101089,0.037026269,0.189447036,0.19544391,0.845045444,0.999968843
ENSG00000007545.11,13.18979211,0.015622203,0.256365384,0.060937258,0.951409177,0.999968843
ENSG00000007923.11,43.92740187,0.057206049,0.172051358,0.332494027,0.739516249,0.999968843
ENSG00000007944.10,21.7206124,-0.089940374,0.258609089,-0.347785048,0.728001619,0.999968843
ENSG00000008018.8,71.26024886,-0.051288638,0.132376258,-0.387445899,0.69842613,0.999968843
ENSG00000008056.8,275.1834154,0.061394671,0.240103296,0.255701075,0.798181665,0.999968843
ENSG00000008083.9,24.24114716,-0.001289538,0.19503791,-0.006611728,0.994724643,0.999968843
ENSG00000008086.6,32.473888,0.12030473,0.261522315,0.460017074,0.645503965,0.999968843
ENSG00000008118.5,104.3287148,0.107812862,0.344705513,0.312768023,0.754456911,0.999968843
ENSG00000008130.11,29.36570341,0.026669015,0.182080794,0.14646803,0.883551926,0.999968843
ENSG00000008256.11,69.12757959,0.077782356,0.180918514,0.429930327,0.667246324,0.999968843
ENSG00000008277.10,182.3452652,0.083056305,0.183008091,0.453839523,0.649944334,0.999968843
ENSG00000008282.3,50.52246479,-0.337299919,0.561609158,-0.600595475,0.548109452,0.999968843
ENSG00000008283.11,73.65619639,0.088260635,0.28154446,0.313487379,0.753910408,0.999968843
ENSG00000008294.16,239.218484,-0.111815148,0.271219806,-0.412267635,0.680143268,0.999968843
ENSG00000008300.10,54.2646973,0.096830847,0.297634495,0.325334759,0.744927727,0.999968843
ENSG00000008324.6,14.73640886,-0.026615502,0.244325081,-0.108934792,0.913254211,0.999968843
ENSG00000008382.11,18.47475298,0.033289213,0.227553735,0.146291655,0.883691153,0.999968843
ENSG00000008394.7,26.64725074,-0.077206477,0.351710808,-0.219516932,0.826247392,0.999968843
ENSG00000008405.7,22.34256847,-0.104915901,0.263096899,-0.398772853,0.690060581,0.999968843
ENSG00000008441.12,218.971615,-0.063657359,0.1560793,-0.407852671,0.683381842,0.999968843
ENSG00000008513.10,41.42885165,0.091654952,0.214178399,0.427937423,0.66869668,0.999968843
ENSG00000008710.13,98.48878066,0.053828788,0.19780742,0.272127242,0.785524184,0.999968843
ENSG00000008735.10,328.6221887,0.056709581,0.173299586,0.32723437,0.743490627,0.999968843
ENSG00000008838.13,95.65875493,0.021159382,0.114355204,0.18503209,0.853203866,0.999968843
ENSG00000008853.12,174.68914,0.110377488,0.319415398,0.345560948,0.729672699,0.999968843
ENSG00000008869.7,75.01366797,0.054717176,0.165951012,0.329718845,0.741612413,0.999968843
ENSG00000008952.12,216.2951153,-0.063275554,0.198661673,-0.318509118,0.750098779,0.999968843
ENSG00000008988.5,77.57523344,-0.156524549,0.230405461,-0.679343921,0.496919974,0.999968843
ENSG00000009307.11,384.3817436,-0.034510767,0.120274024,-0.2869345,0.774162474,0.999968843
ENSG00000009335.13,100.2548349,0.055765134,0.147059084,0.379202242,0.704537687,0.999968843
ENSG00000009413.11,22.35475369,-0.02954427,0.226403757,-0.130493725,0.896175818,0.999968843
ENSG00000009694.9,23.78893628,0.103660519,0.237568012,0.436340391,0.662589781,0.999968843
ENSG00000009780.11,13.08742689,-0.05742498,0.282935522,-0.202961365,0.83916523,0.999968843
ENSG00000009830.7,25.64538063,-0.053488869,0.230387074,-0.232169576,0.816406307,0.999968843
ENSG00000009844.10,79.50379672,0.023576319,0.122652802,0.192219979,0.847569897,0.999968843
ENSG00000009950.11,15.58047969,0.048869029,0.32087495,0.152299295,0.878950881,0.999968843
ENSG00000009954.6,94.10403945,-0.042108924,0.17179884,-0.245105986,0.806374368,0.999968843
ENSG00000010017.9,93.39106542,0.038801455,0.153508082,0.252764902,0.800449891,0.999968843
ENSG00000010165.14,47.49482109,0.048142423,0.155034885,0.310526392,0.756160693,0.999968843
ENSG00000010219.8,12.24198362,-0.093972353,0.281673926,-0.333621059,0.738665525,0.999968843
ENSG00000010244.12,84.13512538,-0.008051065,0.109274801,-0.073677236,0.941267213,0.999968843
ENSG00000010256.6,184.6903012,0.008804376,0.133523525,0.065938762,0.94742658,0.999968843
ENSG00000010270.9,51.10904399,-0.043740602,0.137949828,-0.317076164,0.751185811,0.999968843
ENSG00000010278.7,85.84062404,-0.298547532,0.588684341,-0.50714366,0.612054022,0.999968843
ENSG00000010282.10,29.09453143,-0.312369,0.499293766,-0.62562167,0.531563122,0.999968843
ENSG00000010292.8,29.60090018,-0.153720874,0.370036285,-0.415421082,0.677833676,0.999968843
ENSG00000010295.15,43.68024144,0.040679045,0.20633394,0.197151496,0.843708986,0.999968843
ENSG00000010319.2,32.93780226,-0.157265064,0.472936889,-0.332528648,0.739490111,0.999968843
