ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000139173,173.27371471793376,-0.6327278463268412,0.11839411292282083,-5.344250915071309,9.079172958335553e-08,3.2969892113471364e-06,TMEM117
ENSG00000139174,227.2393077896035,0.11030119813680254,0.18582184543669397,0.5935857427181784,0.55278921919204,0.7960187535066496,PRICKLE1
ENSG00000139178,1794.650873725901,0.2570798172701361,0.20382397981860192,1.2612834736076222,0.20720673329172634,0.47684051843913444,C1RL
ENSG00000139180,98.5872514184957,0.08097731316404533,0.25596872574854873,0.31635627722581044,0.7517320997122834,0.9092955662971968,NDUFA9
ENSG00000139182,537.4464743225598,-0.23470089040746822,0.213101442060871,-1.1013575888446006,0.2707410561469594,0.5557759819732885,CLSTN3
ENSG00000139187,10.792142554061195,-0.8615402625469519,0.49933530168263923,-1.7253742317912824,0.08446005204228557,0.2763772392677741,KLRG1
ENSG00000139190,413.70403617869437,0.1069513385000044,0.18298864938549775,0.5844697955811052,0.5589042807891498,0.799976467859844,VAMP1
ENSG00000139192,242.80932867085065,-0.3050179325647018,0.16169232425872207,-1.8864094752985678,0.059239796697425774,0.21804255466593891,TAPBPL
ENSG00000139194,85.99244281879247,-0.14213648699835021,0.2199151051106432,-0.6463243483290465,0.5180693225719686,0.7732033031262425,RBP5
ENSG00000139197,784.3644511745322,0.018792440228726996,0.1309900084280527,0.14346468447667055,0.8859232003979963,0.9610977393562871,PEX5
ENSG00000139200,473.4193008359081,0.35110582836978615,0.256722585751226,1.3676468213436475,0.17142265312273253,0.4261557251541263,PIANP
ENSG00000139209,219.6988149062822,0.2972319908592267,0.5343356406500382,0.556264580250783,0.5780299968626361,0.8114773709832315,SLC38A4
ENSG00000139211,217.1786519178994,0.33603229817323416,0.2778569605871437,1.2093715322558747,0.2265201404255507,0.5022473783511173,AMIGO2
ENSG00000139218,1796.70729576073,0.08485502048685539,0.1556445139681741,0.5451847824473042,0.5856264365756441,0.8160915931748044,SCAF11
ENSG00000139220,64.42871702346918,0.9919985971030698,0.3503319249744079,2.8315963415995737,0.004631627825192066,0.033486190604672034,PPFIA2
ENSG00000139233,199.9574980955794,0.3577939636788594,0.12405491436419129,2.884157919197576,0.003924618906045707,0.029278140402625462,LLPH
ENSG00000139239,1996.5228931516865,-0.14818383329575455,0.16250504937561205,-0.9118721779114959,0.36183600908449165,0.649413999477485,RPL14P1
ENSG00000139263,1987.9443687452322,-0.3249569786889711,0.1376735374891582,-2.3603445122092648,0.018257970412947588,0.09551860168408156,LRIG3
ENSG00000139266,177.48780674505085,0.11566619031437499,0.21133877807207782,0.5473022573970151,0.5841710932402948,0.8151780832274039,MARCHF9
ENSG00000139269,16.80659948735141,-1.8692922299399286,0.34921573985199633,-5.352829258876381,8.658954644529179e-08,3.1676408755984653e-06,INHBE
ENSG00000139278,1583.9666296501182,-0.06997868218868464,0.20295142192778945,-0.3448050845072827,0.7302409103549011,0.8988244204760152,GLIPR1
ENSG00000139289,1975.8673223812011,-0.9906209251041035,0.0857850143301033,-11.547715330467446,7.580891580548353e-31,5.770516356562786e-28,PHLDA1
ENSG00000139291,526.0206049396079,0.7022754494717356,0.15524253644816516,4.523730837818555,6.075898464551203e-06,0.00013587356668015013,TMEM19
ENSG00000139304,132.8482212333553,-0.21737088797914259,0.60218411658776,-0.36097080941101795,0.7181212686580489,0.8931441940276386,PTPRQ
ENSG00000139318,173.5829137124477,0.18044200331907456,0.5147369933830807,0.3505518461634735,0.7259245877712812,0.8968119434030192,DUSP6
ENSG00000139323,233.04679912472338,0.14591448033351972,0.1312952398798858,1.1113463097901202,0.2664193130664557,0.5510769883881924,POC1B
ENSG00000139324,1046.6286067770843,-0.01592213169643575,0.17375147300439928,-0.09163739116060679,0.92698614257165,0.9765712836575318,TMTC3
ENSG00000139329,13692.825939713719,-0.8583671496540141,0.3493868049332457,-2.456781817556089,0.014018779873900582,0.07861877939483321,LUM
ENSG00000139343,232.76656652871844,-0.15499567985751275,0.13553016144669675,-1.1436249924226032,0.2527791923106182,0.5344287153213478,SNRPF
